job,job_category,job_category_manual,count,detailed review,,interesting
10th 11th grade english teacher,grad student,grad student,1,,,
medical transcriptionist,medical transcriptionist,medical transcriptionist,1,*,misc health,
medicare appeals coordinator,coordinator,coordinator,1,,,
member services counselor,advisor,advisor,1,,,
middle school humanities teacher,teacher,teacher,1,,,
middle school librarian,librarian,librarian,1,,,
midwife,midwife,midwife,1,*,unemployed,
minister,minister,minister,1,*,religious ,
mother 4,mother 4,mother 4,1,*,unemployed,
multiplatform copy editor,multiplatform copy editor,multiplatform copy editor,1,*,editor,
municipal judge,lawyer,lawyer,1,,,
museum docent originally,unemployed,unemployed,1,,,
music director pianist,musician,musician,1,,,
music historian,musician,musician,1,*,specialist ,
music librarian,musician,musician,1,*,librarian,
music minister,musician,musician,1,,,
music producer sound editor,musician,musician,1,,,
musician grad student,musician,musician,1,*,grad student,
musician licensing executive,musician,musician,1,*,manager,
musicologist,musician,musician,1,*,specialist ,
nanny originally,unemployed,unemployed,1,,,
national guard recruiter,national guard recruiter,national guard recruiter,1,*,miscellaneous,
naval architect,architect,architect,1,*,engineer,
network administrator,network administrator,network administrator,1,*,tech developer,
neuroscientist,scientist,scientist,1,,,
news producer originally,unemployed,unemployed,1,,,
newspaper editor reporter,reporter,reporter,1,*,writer ,
nonprofit administrator,nonprofit,nonprofit,1,*,admin,
medical technologist,medical technologist,medical technologist,1,*,misc health,
nonprofit co-founder leader originally,unemployed,unemployed,1,,,
medical lab scientist,scientist,scientist,1,,,
media consultant,consultant,consultant,1,,,
linguist language columnist,linguist language columnist,linguist language columnist,1,*,writer ,
literary agent,literary agent,literary agent,1,*,editor,
literature ph.d. student,grad student,grad student,1,,,
location coordinator,coordinator,coordinator,1,,,
logistics coordinator,coordinator,coordinator,1,,,
m.b.a. candidate originally,unemployed,unemployed,1,,,
m.d. ph.d. student,grad student,grad student,1,,,
m.d.-ph.d. student,grad student,grad student,1,,,
major u.s. marine corps originally,unemployed,unemployed,1,,,
manager,manager,manager,1,,,
manager commercial support content,manager,manager,1,,,
manager corporate foundation relations music school,musician,musician,1,,,
manager scientific writing,manager,manager,1,,,
managing editor,managing editor,managing editor,1,*,editor,
market research analyst originally,unemployed,unemployed,1,,,
market research director,director,director,1,,,
market research intelligence senior coordinator,coordinator,coordinator,1,,,
market researcher,scientist,scientist,1,,,
marketing content manager,manager,manager,1,,,
marketing executive,manager,manager,1,,,
marketing project manager,manager,manager,1,,,
marketing strategist,marketing strategist,marketing strategist,1,*,marketing,
massage therapist,massage therapist,massage therapist,1,*,service industry,
math instructor,teacher,teacher,1,,,
math student,student,student,1,,,
mba student,student,student,1,,,
mechanical design engineer,engineer,engineer,1,,,
media strategist,media strategist,media strategist,1,*,marketing,
nonprofit communications consultant,nonprofit,nonprofit,1,*,consultant,
nonprofit communications professional,nonprofit,nonprofit,1,*,specialist ,
nonprofit consultant,nonprofit,nonprofit,1,*,consultant,
ph. d. student computer science,student,student,1,*,grad student,
ph.d student,grad student,grad student,1,,,
ph.d. candidate adjunct professor,grad student,grad student,1,,,
ph.d. candidate epidemiology,grad student,grad student,1,,,
ph.d. candidate teaching associate,grad student,grad student,1,,,
ph.d. student experimental pathology,grad student,grad student,1,,,
ph.d. student football analyst,grad student,grad student,1,,,
pharmaceutical medical director,director,director,1,,,
pharmaceutical research associate,scientist,scientist,1,,,
phd student,student,student,1,*,grad student,
philanthropic advisor,advisor,advisor,1,,,
physicist,physicist,physicist,1,*,scientist,
physics instructor,teacher,teacher,1,,,
pilot,pilot,pilot,1,*,transportation,
playwright,playwright,playwright,1,*,artist/designer,
podcast host,podcast host,podcast host,1,*,artist/designer,
poet,poet,poet,1,*,artist/designer,
policy research director,director,director,1,,,
political science student originally,unemployed,unemployed,1,,,
pool room owner,pool room owner,pool room owner,1,*,business owner,
pool spa maintenance contractor,pool spa maintenance contractor,pool spa maintenance contractor,1,*,laborer,
portable restroom service technician,technician,technician,1,,,
portfolio manager,manager,manager,1,,,
post-graduate student,grad student,grad student,1,,,
postdoctoral researcher,doctor,doctor,1,,,
power engineer,engineer,engineer,1,,,
pr content manager,manager,manager,1,,,
personal trainer,personal trainer,personal trainer,1,*,teacher,
personal assistant,personal assistant,personal assistant,1,*,assistant,
pathologist,pathologist,pathologist,1,*,specialist ,
pastry chef,chef,chef,1,*,miscellaneous,
nonprofit finance professional,nonprofit,nonprofit,1,*,finance,
nonprofit fundraising operations manager,nonprofit,nonprofit,1,*,manager,
nonprofit manager,nonprofit,nonprofit,1,*,manager,
nonprofit strategist,nonprofit,nonprofit,1,*,specialist ,
nonprofit writer editor,nonprofit,nonprofit,1,*,editor,
novelist teacher,teacher,teacher,1,,,
